Rating_ID,Rating color,Rating text
RAT_001,Dark Green,Excellent
RAT_002,Green,Very Good
RAT_003,Orange,Average
RAT_004,Yellow,Good
RAT_005,Red,Poor
RAT_006,White,Not_Rated
